word,score
fried,5
frill,4
frisk,4
fritz,3
frock,3
frond,4
front,3
frost,3
froth,4
frown,5
froze,4
fruit,3
fudge,4
fugue,4
fully,3
fungi,4
funky,4
funny,5
furor,3
furry,3
fussy,4
fuzzy,5
gaffe,4
gaily,3
gamer,3
gamma,3
gamut,3
gassy,3
gaudy,4
gauge,3
gaunt,3
gauze,4
gavel,4
gawky,4
gayer,3
gayly,3
gazer,3
gecko,3
geeky,4
geese,3
genie,4
genre,3
ghost,3
ghoul,3
giant,4
giddy,4
gipsy,4
girly,4
girth,4
given,4
giver,5
glade,3
gland,4
glare,3
glass,3
glaze,4
gleam,3
glean,3
glide,3
glint,3
gloat,3
globe,4
gloom,4
glory,3
gloss,3
glove,4
glyph,4
gnash,3
gnome,3
godly,3
going,4
golem,3
golly,3
gonad,3
goner,3
goody,4
gooey,4
goofy,4
goose,3
gorge,4
gouge,4
gourd,3
grace,4
grade,4
graft,3
grail,4
grain,3
grand,3
grant,4
grape,5
graph,4
grasp,3
grass,3
grate,2
grave,4
gravy,4
graze,4
great,3
greed,5
green,4
greet,3
grief,5
grill,4
grime,4
grimy,4
grind,3
gripe,4
groan,3
groin,4
groom,4
grope,4
gross,4
group,4
grout,3
grove,5
growl,3
grown,4
gruel,4
gruff,3
grunt,3
guard,4
guava,4
guess,3
guest,3
guide,4
guild,4
guile,3
guilt,3
guise,4
gulch,3
gully,3
gumbo,3
gummy,4
guppy,4
gusto,3
gusty,3
gypsy,4
habit,3
hairy,5
halve,2
handy,4
happy,4
hardy,4
harem,3
harpy,4
harry,4
harsh,3
haste,3
hasty,3
hatch,4
hater,3
haunt,3
haute,3
haven,3
havoc,3
hazel,4
heady,3
heard,3
heart,3
heath,4
heave,3
heavy,4
hedge,4
hefty,4
heist,3
helix,3
hello,3
hence,4
heron,3
hilly,4
hinge,4
hippo,4
hippy,4
hitch,4
hoard,3
hobby,4
hoist,4
holly,4
homer,4
honey,4
honor,4
horde,3
horny,3
horse,3
hotel,2
hotly,3
hound,4
house,3
hovel,3
hover,4
howdy,4
human,4
humid,3
humor,4
humph,4
humus,3
hunch,4
hunky,5
hurry,4
husky,3
hussy,4
hutch,4
hydro,3
hyena,4
hymen,4
hyper,4
icily,4
icing,4
ideal,4
idiom,4
idiot,3
idler,3
idyll,4
igloo,3
iliac,3
image,4
imbue,4
impel,4
imply,4
inane,4
inbox,3
incur,3
index,3
inept,3
inert,3
infer,4
ingot,3
inlay,3
inlet,3
inner,4
input,3
inter,4
intro,3
ionic,3
irate,4
irony,4
islet,2
issue,4
itchy,4
ivory,3
