word,score
glaze,3.0
glade,4.0
gland,4.0
glare,3.0
glass,3.0
gleam,3.0
glean,3.0
glide,3.0
glint,3.0
gloat,3.0
glove,3.0
globe,4.0
gloom,4.0
glory,3.0
gloss,3.0
glyph,4.0
gnash,3.0
gnome,3.0
godly,3.0
going,4.0
golem,3.0
golly,3.0
gonad,3.0
goner,3.0
goody,4.0
goofy,4.0
moose,3.0
goose,4.0
gorge,4.0
gouge,4.0
gourd,3.0
grace,4.0
grade,4.0
graft,3.0
grail,4.0
prawn,3.0
grain,4.0
grand,3.0
grant,4.0
grape,5.0
graph,4.0
grasp,3.0
grass,3.0
grave,4.0
gravy,4.0
graze,4.0
great,3.0
greed,5.0
preen,4.0
green,5.0
greet,3.0
grief,5.0
grill,4.0
grime,4.0
grimy,4.0
rigid,3.0
grind,4.0
gripe,4.0
groan,3.0
groom,4.0
grope,4.0
group,4.0
grout,3.0
grove,5.0
growl,4.0
grown,4.0
gruff,3.0
grunt,3.0
guard,4.0
guava,4.0
pesky,3.0
guess,4.0
guest,3.0
guide,4.0
guild,4.0
guile,3.0
guilt,3.0
guise,4.0
gulch,3.0
gully,3.0
gummy,5.0
gusto,3.0
gusty,3.0
gypsy,4.0
habit,3.0
hairy,4.0
halve,2.0
happy,4.0
dempt,3.0
hardy,4.0
harem,3.0
harpy,4.0
harry,4.0
harsh,3.0
haste,3.0
nitty,2.0
pasty,3.0
hasty,4.0
hawms,3.0
hatch,4.0
hater,4.0
haunt,3.0
waxen,3.0
haven,4.0
macho,3.0
havoc,4.0
hazel,3.0
heady,3.0
heard,3.0
react,3.0
heart,4.0
heath,4.0
heave,3.0
heavy,4.0
hedge,4.0
hefty,4.0
heist,3.0
helix,3.0
hello,3.0
hence,4.0
heron,3.0
hilly,4.0
hinge,4.0
hippo,4.0
hippy,4.0
hitch,4.0
hoard,3.0
hobby,4.0
hoist,4.0
holly,4.0
homer,4.0
honey,4.0
honor,4.0
horde,3.0
horny,4.0
horse,3.0
hotly,3.0
hound,4.0
house,3.0
hovel,3.0
hover,4.0
human,4.0
humid,3.0
humor,4.0
humph,4.0
humus,3.0
hunch,4.0
hunky,4.0
husky,3.0
hussy,4.0
hutch,4.0
hydro,3.0
hyena,4.0
